job_name	vcf_file	region	output_base
Chromosome1-1	Chromosome_1_RagTag-1.vcf.gz	Chromosome_1_RagTag:1-2000000	Chromosome1-1_out
Chromosome1-2	Chromosome_1_RagTag-2.vcf.gz	Chromosome_1_RagTag:1900001-3900000	Chromosome1-2_out
Chromosome1-3	Chromosome_1_RagTag-3.vcf.gz	Chromosome_1_RagTag:3800001-5800000	Chromosome1-3_out
Chromosome1-4	Chromosome_1_RagTag-4.vcf.gz	Chromosome_1_RagTag:5700001-7700000	Chromosome1-4_out
Chromosome1-5	Chromosome_1_RagTag-5.vcf.gz	Chromosome_1_RagTag:7600001-9600000	Chromosome1-5_out
Chromosome1-6	Chromosome_1_RagTag-6.vcf.gz	Chromosome_1_RagTag:9500001-11500000	Chromosome1-6_out
Chromosome1-7	Chromosome_1_RagTag-7.vcf.gz	Chromosome_1_RagTag:11400001-13400000	Chromosome1-7_out
Chromosome1-8	Chromosome_1_RagTag-8.vcf.gz	Chromosome_1_RagTag:13300001-15300000	Chromosome1-8_out
Chromosome1-9	Chromosome_1_RagTag-9.vcf.gz	Chromosome_1_RagTag:15200001-17200000	Chromosome1-9_out
Chromosome1-10	Chromosome_1_RagTag-10.vcf.gz	Chromosome_1_RagTag:17100001-19100000	Chromosome1-10_out
Chromosome1-11	Chromosome_1_RagTag-11.vcf.gz	Chromosome_1_RagTag:19000001-21000000	Chromosome1-11_out
Chromosome1-12	Chromosome_1_RagTag-12.vcf.gz	Chromosome_1_RagTag:20900001-22900000	Chromosome1-12_out
Chromosome1-13	Chromosome_1_RagTag-13.vcf.gz	Chromosome_1_RagTag:22800001-24800000	Chromosome1-13_out
Chromosome1-14	Chromosome_1_RagTag-14.vcf.gz	Chromosome_1_RagTag:24700001-26700000	Chromosome1-14_out
Chromosome1-15	Chromosome_1_RagTag-15.vcf.gz	Chromosome_1_RagTag:26600001-28600000	Chromosome1-15_out
Chromosome1-16	Chromosome_1_RagTag-16.vcf.gz	Chromosome_1_RagTag:28500001-30500000	Chromosome1-16_out
Chromosome1-17	Chromosome_1_RagTag-17.vcf.gz	Chromosome_1_RagTag:30400001-32400000	Chromosome1-17_out
Chromosome1-18	Chromosome_1_RagTag-18.vcf.gz	Chromosome_1_RagTag:32300001-34300000	Chromosome1-18_out
Chromosome1-19	Chromosome_1_RagTag-19.vcf.gz	Chromosome_1_RagTag:34200001-36200000	Chromosome1-19_out
Chromosome1-20	Chromosome_1_RagTag-20.vcf.gz	Chromosome_1_RagTag:36100001-38100000	Chromosome1-20_out
Chromosome1-21	Chromosome_1_RagTag-21.vcf.gz	Chromosome_1_RagTag:38000001-40000000	Chromosome1-21_out
Chromosome1-22	Chromosome_1_RagTag-22.vcf.gz	Chromosome_1_RagTag:39900001-41900000	Chromosome1-22_out
Chromosome1-23	Chromosome_1_RagTag-23.vcf.gz	Chromosome_1_RagTag:41800001-43800000	Chromosome1-23_out
Chromosome1-24	Chromosome_1_RagTag-24.vcf.gz	Chromosome_1_RagTag:43700001-45700000	Chromosome1-24_out
Chromosome1-25	Chromosome_1_RagTag-25.vcf.gz	Chromosome_1_RagTag:45600001-47600000	Chromosome1-25_out
Chromosome1-26	Chromosome_1_RagTag-26.vcf.gz	Chromosome_1_RagTag:47500001-49500000	Chromosome1-26_out
Chromosome1-27	Chromosome_1_RagTag-27.vcf.gz	Chromosome_1_RagTag:49400001-51400000	Chromosome1-27_out
Chromosome1-28	Chromosome_1_RagTag-28.vcf.gz	Chromosome_1_RagTag:51300001-53300000	Chromosome1-28_out
Chromosome1-29	Chromosome_1_RagTag-29.vcf.gz	Chromosome_1_RagTag:53200001-55200000	Chromosome1-29_out
Chromosome1-30	Chromosome_1_RagTag-30.vcf.gz	Chromosome_1_RagTag:55100001-57100000	Chromosome1-30_out
Chromosome1-31	Chromosome_1_RagTag-31.vcf.gz	Chromosome_1_RagTag:57000001-59000000	Chromosome1-31_out
Chromosome1-32	Chromosome_1_RagTag-32.vcf.gz	Chromosome_1_RagTag:58900001-60900000	Chromosome1-32_out
Chromosome1-33	Chromosome_1_RagTag-33.vcf.gz	Chromosome_1_RagTag:60800001-62800000	Chromosome1-33_out
Chromosome1-34	Chromosome_1_RagTag-34.vcf.gz	Chromosome_1_RagTag:62700001-64700000	Chromosome1-34_out
Chromosome1-35	Chromosome_1_RagTag-35.vcf.gz	Chromosome_1_RagTag:64600001-66600000	Chromosome1-35_out
Chromosome1-36	Chromosome_1_RagTag-36.vcf.gz	Chromosome_1_RagTag:66500001-68500000	Chromosome1-36_out
Chromosome1-37	Chromosome_1_RagTag-37.vcf.gz	Chromosome_1_RagTag:68400001-70400000	Chromosome1-37_out
Chromosome1-38	Chromosome_1_RagTag-38.vcf.gz	Chromosome_1_RagTag:70300001-72300000	Chromosome1-38_out
Chromosome1-39	Chromosome_1_RagTag-39.vcf.gz	Chromosome_1_RagTag:72200001-74200000	Chromosome1-39_out
Chromosome1-40	Chromosome_1_RagTag-40.vcf.gz	Chromosome_1_RagTag:74100001-76100000	Chromosome1-40_out
Chromosome1-41	Chromosome_1_RagTag-41.vcf.gz	Chromosome_1_RagTag:76000001-78000000	Chromosome1-41_out
Chromosome1-42	Chromosome_1_RagTag-42.vcf.gz	Chromosome_1_RagTag:77900001-79900000	Chromosome1-42_out
Chromosome1-43	Chromosome_1_RagTag-43.vcf.gz	Chromosome_1_RagTag:79800001-81800000	Chromosome1-43_out
Chromosome1-44	Chromosome_1_RagTag-44.vcf.gz	Chromosome_1_RagTag:81700001-83700000	Chromosome1-44_out
Chromosome1-45	Chromosome_1_RagTag-45.vcf.gz	Chromosome_1_RagTag:83600001-85600000	Chromosome1-45_out
Chromosome1-46	Chromosome_1_RagTag-46.vcf.gz	Chromosome_1_RagTag:85500001-87500000	Chromosome1-46_out
Chromosome1-47	Chromosome_1_RagTag-47.vcf.gz	Chromosome_1_RagTag:87400001-89400000	Chromosome1-47_out
Chromosome1-48	Chromosome_1_RagTag-48.vcf.gz	Chromosome_1_RagTag:89300001-91300000	Chromosome1-48_out
Chromosome1-49	Chromosome_1_RagTag-49.vcf.gz	Chromosome_1_RagTag:91200001-93200000	Chromosome1-49_out
Chromosome1-50	Chromosome_1_RagTag-50.vcf.gz	Chromosome_1_RagTag:93100001-95100000	Chromosome1-50_out
Chromosome1-51	Chromosome_1_RagTag-51.vcf.gz	Chromosome_1_RagTag:95000001-97000000	Chromosome1-51_out
Chromosome1-52	Chromosome_1_RagTag-52.vcf.gz	Chromosome_1_RagTag:96900001-98900000	Chromosome1-52_out
Chromosome1-53	Chromosome_1_RagTag-53.vcf.gz	Chromosome_1_RagTag:98800001-100800000	Chromosome1-53_out
Chromosome1-54	Chromosome_1_RagTag-54.vcf.gz	Chromosome_1_RagTag:100700001-102700000	Chromosome1-54_out
Chromosome1-55	Chromosome_1_RagTag-55.vcf.gz	Chromosome_1_RagTag:102600001-104600000	Chromosome1-55_out
Chromosome1-56	Chromosome_1_RagTag-56.vcf.gz	Chromosome_1_RagTag:104500001-106500000	Chromosome1-56_out
Chromosome1-57	Chromosome_1_RagTag-57.vcf.gz	Chromosome_1_RagTag:106400001-108400000	Chromosome1-57_out
Chromosome1-58	Chromosome_1_RagTag-58.vcf.gz	Chromosome_1_RagTag:108300001-110300000	Chromosome1-58_out
Chromosome1-59	Chromosome_1_RagTag-59.vcf.gz	Chromosome_1_RagTag:110200001-112200000	Chromosome1-59_out
Chromosome1-60	Chromosome_1_RagTag-60.vcf.gz	Chromosome_1_RagTag:112100001-114100000	Chromosome1-60_out
Chromosome1-61	Chromosome_1_RagTag-61.vcf.gz	Chromosome_1_RagTag:114000001-116000000	Chromosome1-61_out
Chromosome1-62	Chromosome_1_RagTag-62.vcf.gz	Chromosome_1_RagTag:115900001-117900000	Chromosome1-62_out
Chromosome1-63	Chromosome_1_RagTag-63.vcf.gz	Chromosome_1_RagTag:117800001-119800000	Chromosome1-63_out
Chromosome1-64	Chromosome_1_RagTag-64.vcf.gz	Chromosome_1_RagTag:119700001-121700000	Chromosome1-64_out
Chromosome1-65	Chromosome_1_RagTag-65.vcf.gz	Chromosome_1_RagTag:121600001-123600000	Chromosome1-65_out
Chromosome1-66	Chromosome_1_RagTag-66.vcf.gz	Chromosome_1_RagTag:123500001-125500000	Chromosome1-66_out
Chromosome1-67	Chromosome_1_RagTag-67.vcf.gz	Chromosome_1_RagTag:125400001-127400000	Chromosome1-67_out
Chromosome1-68	Chromosome_1_RagTag-68.vcf.gz	Chromosome_1_RagTag:127300001-129300000	Chromosome1-68_out
Chromosome1-69	Chromosome_1_RagTag-69.vcf.gz	Chromosome_1_RagTag:129200001-131200000	Chromosome1-69_out
Chromosome1-70	Chromosome_1_RagTag-70.vcf.gz	Chromosome_1_RagTag:131100001-133100000	Chromosome1-70_out
Chromosome1-71	Chromosome_1_RagTag-71.vcf.gz	Chromosome_1_RagTag:133000001-135000000	Chromosome1-71_out
Chromosome1-72	Chromosome_1_RagTag-72.vcf.gz	Chromosome_1_RagTag:134900001-136900000	Chromosome1-72_out
Chromosome1-73	Chromosome_1_RagTag-73.vcf.gz	Chromosome_1_RagTag:136800001-138800000	Chromosome1-73_out
Chromosome1-74	Chromosome_1_RagTag-74.vcf.gz	Chromosome_1_RagTag:138700001-140700000	Chromosome1-74_out
Chromosome1-75	Chromosome_1_RagTag-75.vcf.gz	Chromosome_1_RagTag:140600001-142600000	Chromosome1-75_out
Chromosome1-76	Chromosome_1_RagTag-76.vcf.gz	Chromosome_1_RagTag:142500001-144500000	Chromosome1-76_out
Chromosome1-77	Chromosome_1_RagTag-77.vcf.gz	Chromosome_1_RagTag:144400001-146400000	Chromosome1-77_out
Chromosome1-78	Chromosome_1_RagTag-78.vcf.gz	Chromosome_1_RagTag:146300001-148300000	Chromosome1-78_out
Chromosome1-79	Chromosome_1_RagTag-79.vcf.gz	Chromosome_1_RagTag:148200001-150200000	Chromosome1-79_out
Chromosome1-80	Chromosome_1_RagTag-80.vcf.gz	Chromosome_1_RagTag:150100001-152100000	Chromosome1-80_out
Chromosome1-81	Chromosome_1_RagTag-81.vcf.gz	Chromosome_1_RagTag:152000001-154000000	Chromosome1-81_out
Chromosome1-82	Chromosome_1_RagTag-82.vcf.gz	Chromosome_1_RagTag:153900001-155900000	Chromosome1-82_out
Chromosome1-83	Chromosome_1_RagTag-83.vcf.gz	Chromosome_1_RagTag:155800001-156659620	Chromosome1-83_out
Chromosome10-84	Chromosome_10_RagTag-84.vcf.gz	Chromosome_10_RagTag:1-2000000	Chromosome10-84_out
Chromosome10-85	Chromosome_10_RagTag-85.vcf.gz	Chromosome_10_RagTag:1900001-3900000	Chromosome10-85_out
Chromosome10-86	Chromosome_10_RagTag-86.vcf.gz	Chromosome_10_RagTag:3800001-5800000	Chromosome10-86_out
Chromosome10-87	Chromosome_10_RagTag-87.vcf.gz	Chromosome_10_RagTag:5700001-7700000	Chromosome10-87_out
Chromosome10-88	Chromosome_10_RagTag-88.vcf.gz	Chromosome_10_RagTag:7600001-9600000	Chromosome10-88_out
Chromosome10-89	Chromosome_10_RagTag-89.vcf.gz	Chromosome_10_RagTag:9500001-11500000	Chromosome10-89_out
Chromosome10-90	Chromosome_10_RagTag-90.vcf.gz	Chromosome_10_RagTag:11400001-13400000	Chromosome10-90_out
Chromosome10-91	Chromosome_10_RagTag-91.vcf.gz	Chromosome_10_RagTag:13300001-15300000	Chromosome10-91_out
Chromosome10-92	Chromosome_10_RagTag-92.vcf.gz	Chromosome_10_RagTag:15200001-17200000	Chromosome10-92_out
Chromosome10-93	Chromosome_10_RagTag-93.vcf.gz	Chromosome_10_RagTag:17100001-19100000	Chromosome10-93_out
Chromosome10-94	Chromosome_10_RagTag-94.vcf.gz	Chromosome_10_RagTag:19000001-21000000	Chromosome10-94_out
Chromosome10-95	Chromosome_10_RagTag-95.vcf.gz	Chromosome_10_RagTag:20900001-22900000	Chromosome10-95_out
Chromosome10-96	Chromosome_10_RagTag-96.vcf.gz	Chromosome_10_RagTag:22800001-24800000	Chromosome10-96_out
Chromosome10-97	Chromosome_10_RagTag-97.vcf.gz	Chromosome_10_RagTag:24700001-26700000	Chromosome10-97_out
Chromosome10-98	Chromosome_10_RagTag-98.vcf.gz	Chromosome_10_RagTag:26600001-27380846	Chromosome10-98_out
Chromosome11-99	Chromosome_11_RagTag-99.vcf.gz	Chromosome_11_RagTag:1-2000000	Chromosome11-99_out
Chromosome11-100	Chromosome_11_RagTag-100.vcf.gz	Chromosome_11_RagTag:1900001-3900000	Chromosome11-100_out
Chromosome11-101	Chromosome_11_RagTag-101.vcf.gz	Chromosome_11_RagTag:3800001-5800000	Chromosome11-101_out
Chromosome11-102	Chromosome_11_RagTag-102.vcf.gz	Chromosome_11_RagTag:5700001-7700000	Chromosome11-102_out
