K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   4   1       0   1.0000 26:07:17 -2.44482280655E+06 -2.44482280655E+06  0.05131 -0.02689  0.11334  0.14158
2   4   1     100   0.0000 26:07:17 -2.44482280655E+06 -2.44482280655E+06  0.05131 -0.02689  0.11334  0.14158
2   4   1     200  21.5000 26:07:17 -2.23902044762E+06 -2.23902044762E+06 -0.02689  0.05131  0.14158  0.11334
2   4   1     400  20.5000 26:07:17 -2.42369674911E+06 -2.23902044762E+06 -0.02689  0.05131  0.14158  0.11334
2   4   2     800  41.4286 26:07:17 -2.46607540508E+06 -2.23902044762E+06  0.18446  0.07581  0.05077  0.10629
2   4   3    1600  53.2143 27:07:17 -2.38797810227E+06 -2.23902044762E+06 -0.01868  0.01238  0.13914  0.12704
2   4   4    2200  12.8319 28:07:17 -2.39394051089E+06 -2.23902044762E+06  0.17009 -0.00022  0.06060  0.12961
2   4   5    3200  14.6959 28:07:17 -2.26174766928E+06 -2.23902044762E+06  0.14756  0.16455  0.07529  0.05705
2   4   7    4400   6.8716 30:07:17 -2.30924764942E+06 -2.23902044762E+06  0.17971  0.24246  0.05658  0.01981
2   4 200    5828   0.0000 31:07:17 -2.23902044762E+06 -2.23902044762E+06  0.12608  0.18801  0.07612  0.05694
