K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3   2   1       0   1.0000 10:09:17 -2.45606320477E+06 -2.45606320477E+06 -0.00117 -0.01626 -0.00668  0.13576  0.15804  0.11633
3   2   1     100   1.0000 10:09:17 -2.45558267954E+06 -2.45558267954E+06 -0.00668 -0.01626 -0.00117  0.11633  0.15804  0.13576
3   2   1     200  18.3575 10:09:17 -2.24239258659E+06 -2.24239258659E+06 -0.00117 -0.00668 -0.01626  0.13576  0.11633  0.15804
3   2   1     400  12.9545 10:09:17 -2.23090506637E+06 -2.18441366988E+06 -0.00117 -0.00668 -0.01626  0.13576  0.11633  0.15804
3   2   1     800  16.7592 11:09:17 -2.21905679970E+06 -2.18441366988E+06 -0.00117 -0.00668 -0.01626  0.13576  0.11633  0.15804
3   2   2    1500  42.3510 12:09:17 -2.23262360182E+06 -2.18441366988E+06  0.12611  0.14070  0.17217  0.04964  0.05041  0.01981
3   2   2    1600  40.0832 12:09:17 -2.23051035983E+06 -2.18441366988E+06  0.12611  0.14070  0.17217  0.04964  0.05041  0.01981
3   2   4    3200  34.8315 13:09:17 -2.24079220551E+06 -2.18441366988E+06  0.12531  0.08866  0.17819  0.06849  0.07802  0.01817
3   2   4    3400  33.9928 14:09:17 -2.23667989683E+06 -2.18441366988E+06  0.12531  0.08866  0.17819  0.06849  0.07802  0.01817
3   2   6    5300  13.3218 16:09:17 -2.20277710033E+06 -2.18441366988E+06  0.17995  0.17416  0.13228  0.01548  0.01981  0.05550
3   2   7    6400  11.8717 17:09:17 -2.18441366988E+06 -2.18441366988E+06  0.16117  0.17042  0.14913  0.03619  0.01981  0.03115
3   2   8    7100  15.7055 18:09:17 -2.21129678430E+06 -2.18441366988E+06  0.16117  0.17042  0.14913  0.03619  0.01981  0.03115
3   2  11    9000   4.1009 20:09:17 -2.19928043203E+06 -2.18441366988E+06  0.18829  0.13730  0.17230  0.02311  0.04020  0.01981
3   2 200    9255   0.0000 20:09:17 -2.18441366988E+06 -2.18441366988E+06  0.14499  0.17141  0.21129  0.03198  0.01981  0.00835
