K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4   6   1       0   1.0000 09:18:17 -2.43443313166E+06 -2.43443313166E+06  0.00277  0.00952 -0.01562 -0.00645  0.13005  0.13730  0.12666  0.13981
4   6   1     100   5.6075 09:18:17 -2.42510866086E+06 -2.42510866086E+06  0.00952 -0.01562 -0.00645  0.00277  0.13730  0.12666  0.13981  0.13005
4   6   1     200  22.6852 09:18:17 -2.25342012631E+06 -2.23609401484E+06  0.00952 -0.01562  0.00277 -0.00645  0.13730  0.12666  0.13005  0.13981
4   6   1     400  31.4904 09:18:17 -2.23702670966E+06 -2.23609401484E+06  0.00952 -0.01562  0.00277 -0.00645  0.13730  0.12666  0.13005  0.13981
4   6   1     800  26.7157 10:18:17 -2.21240845970E+06 -2.20241019912E+06  0.00952  0.00277 -0.00645 -0.01562  0.13730  0.13005  0.13981  0.12666
4   6   2    1600  14.4118 11:18:17 -2.20689036545E+06 -2.20213323262E+06  0.19617  0.16042  0.16644  0.13766  0.00835  0.01989  0.01947  0.03198
4   6   2    1700  14.1921 11:18:17 -2.20508275922E+06 -2.20213323262E+06  0.19617  0.16644  0.16042  0.13766  0.00835  0.01947  0.01989  0.03198
4   6   3    3200   8.3333 12:18:17 -2.18397532220E+06 -2.18308869957E+06  0.17267  0.13675  0.10444  0.13822  0.00835  0.01981  0.02380  0.02378
4   6   3    3300   8.0976 13:18:17 -2.18731456097E+06 -2.18308869957E+06  0.17267  0.13675  0.10444  0.13822  0.00835  0.01981  0.02380  0.02378
4   6   5    5300   6.7818 15:18:17 -2.18529603516E+06 -2.18308869957E+06  0.17173  0.13577  0.12670  0.11584  0.00835  0.01981  0.02916  0.02025
4   6   6    6400   6.4477 16:18:17 -2.18832218793E+06 -2.18308869957E+06  0.17129  0.13532  0.11585  0.11582  0.00835  0.01981  0.02703  0.03318
4   6   7    7200   5.0314 17:18:17 -2.18326524928E+06 -2.18308869957E+06  0.17129  0.13532  0.11585  0.11582  0.00835  0.01981  0.02703  0.03318
4   6   9    9200   4.8951 19:18:17 -2.18519107235E+06 -2.18308869957E+06  0.17189  0.13595  0.12987  0.12277  0.00835  0.01981  0.02101  0.02448
4   6  10   11100   5.3030 21:18:17 -2.18370557531E+06 -2.18308869957E+06  0.17157  0.13562  0.11799  0.11971  0.00835  0.01981  0.04125  0.01529
4   6 200   11101   0.0000 21:18:17 -2.18308869957E+06 -2.18308869957E+06  0.17157  0.13562  0.11799  0.11971  0.00835  0.01981  0.04125  0.01529
