K Run Tem Iterate   Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5  10   1       0   1.0000 01:34:17 -2.41780556993E+06 -2.41780556993E+06 -0.04286  0.09142 -0.02141  0.03028 -0.03184  0.16161  0.03483  0.14336  0.12591  0.15787
5  10   1     100   2.9412 01:34:17 -2.39548599725E+06 -2.39548599725E+06  0.09142  0.03028 -0.02141 -0.03184 -0.04286  0.03483  0.12591  0.14336  0.15787  0.16161
5  10   1     200  25.0000 02:34:17 -2.21752953862E+06 -2.21234206066E+06  0.09142  0.03028 -0.04286 -0.03184 -0.02141  0.03483  0.12591  0.16161  0.15787  0.14336
5  10   1     400  25.6790 02:34:17 -2.20786673996E+06 -2.20362516417E+06  0.03028  0.09142 -0.04286 -0.03184 -0.02141  0.12591  0.03483  0.16161  0.15787  0.14336
5  10   1     800  28.5714 02:34:17 -2.22097661687E+06 -2.20101732646E+06  0.09142 -0.03184  0.03028 -0.04286 -0.02141  0.03483  0.15787  0.12591  0.16161  0.14336
5  10   1    1000  28.9552 03:34:17 -2.22566579434E+06 -2.20101732646E+06  0.09142  0.03028 -0.04286 -0.03184 -0.02141  0.03483  0.12591  0.16161  0.15787  0.14336
5  10   1    1600  28.7850 03:34:17 -2.19782042562E+06 -2.19648701939E+06 -0.02141 -0.04286 -0.03184  0.09142  0.03028  0.14336  0.16161  0.15787  0.03483  0.12591
5  10   2    2600  30.0209 05:34:17 -2.20396532880E+06 -2.19648701939E+06  0.11067  0.14957  0.11695  0.11171  0.08846  0.04780  0.00197  0.01981  0.02168  0.03211
5  10   2    3200  30.4627 05:34:17 -2.20546952660E+06 -2.19648701939E+06  0.14957  0.11067  0.11695  0.08846  0.11171  0.00197  0.04780  0.01981  0.03211  0.02168
5  10   3    4200  28.4934 07:34:17 -2.20534434150E+06 -2.19648701939E+06  0.14995  0.10740  0.11784  0.07681  0.06847  0.00876  0.01920  0.01981  0.04856  0.08489
5  10   4    5700  19.2568 09:34:17 -2.20313577946E+06 -2.19242220077E+06  0.15378  0.10879  0.11750  0.08248  0.09624  0.00900  0.02892  0.01981  0.02188  0.06633
5  10   5    6400  16.6667 09:34:17 -2.20007056933E+06 -2.19050826970E+06  0.15378  0.11750  0.09624  0.10879  0.08248  0.00900  0.01981  0.06633  0.02892  0.02188
5  10   5    7200  13.2383 11:34:17 -2.20051865689E+06 -2.19050826970E+06  0.14840  0.11430  0.14157  0.10794  0.10897  0.00835  0.01981  0.00359  0.03724  0.00628
5  10   6    8700  12.6812 13:34:17 -2.19951102267E+06 -2.19050826310E+06  0.14832  0.14149  0.11422  0.10938  0.10887  0.00835  0.00359  0.01981  0.02474  0.02230
5  10   7   10200  10.0993 15:34:17 -2.19835992218E+06 -2.19050826310E+06  0.14617  0.11200  0.09640  0.09198  0.14024  0.00835  0.01981  0.04121  0.01970  0.00558
5  10   8   11600  11.1848 17:34:17 -2.19175607241E+06 -2.19050826310E+06  0.14687  0.11272  0.10251  0.11412  0.11477  0.00835  0.01981  0.00912  0.02652  0.02311
5  10   9   12800   8.5595 18:34:17 -2.19076004749E+06 -2.19050826310E+06  0.14687  0.11272  0.11412  0.11477  0.10251  0.00835  0.01981  0.02652  0.02311  0.00912
5  10   9   13100   7.3115 19:34:17 -2.19316946458E+06 -2.19050826310E+06  0.14687  0.11272  0.11412  0.10251  0.11477  0.00835  0.01981  0.02652  0.00912  0.02311
5  10  10   14700   8.4444 21:34:17 -2.19251407711E+06 -2.19050826310E+06  0.14838  0.11428  0.14155  0.10328  0.11455  0.00835  0.01981  0.00359  0.03164  0.01311
5  10  12   16200   4.8780 23:34:17 -2.19270740739E+06 -2.19050826310E+06  0.14698  0.11284  0.10780  0.12027  0.10660  0.00835  0.01981  0.01543  0.02819  0.01508
5  10  13   17700   2.4631 25:34:17 -2.19210017891E+06 -2.19050826310E+06  0.14822  0.11412  0.14139  0.12165  0.10638  0.00835  0.01981  0.00359  0.02906  0.01024
5  10  14   19300   3.7267 27:34:17 -2.19053969418E+06 -2.19050826310E+06  0.14795  0.11384  0.14112  0.09850  0.11587  0.00835  0.01981  0.00359  0.03293  0.01271
5  10  15   20800   7.6299 29:34:17 -2.19053969418E+06 -2.19050826310E+06  0.14852  0.11443  0.14170  0.11617  0.11467  0.00835  0.01981  0.00359  0.01639  0.01900
5  10  16   22400   2.3918 31:34:17 -2.19411889713E+06 -2.19050826310E+06  0.14808  0.11398  0.14126  0.11794  0.09805  0.00835  0.01981  0.00359  0.01728  0.02911
5  10 200   23027   0.0000 31:34:17 -2.19050826310E+06 -2.19050826310E+06  0.14808  0.11398  0.09805  0.14126  0.11794  0.00835  0.01981  0.02911  0.00359  0.01728
