population,individual,alternate_allele_count,reference_allele_count,missing_allele_count,alternate_allele_frequency,reference_allele_frequency,missing_allele_frequency,alternate_percentage_of_non_missing_alleles,latitude,longitude
belem_1,Bel_xsFRC041_Mus,0,3350,2286,0.0,0.594,0.406,0.0,-3.704,-48.563
belem_10,Bel_xsTP51965_Toe,0,5224,412,0.0,0.927,0.073,0.0,-2.835,-47.915
belem_2,Bel_xsGUR156_Mus,0,3000,2636,0.0,0.532,0.468,0.0,-3.704,-46.762
belem_3,Bel_xsLCA23_Mus,0,5302,334,0.0,0.941,0.059,0.0,-1.75,-48.8
belem_4,Bel_xsMLV157_Mus,0,4508,1128,0.0,0.8,0.2,0.0,-1.199,-48.299
belem_5,Bel_xsRDP017_Mus,0,5028,608,0.0,0.892,0.108,0.0,-4.715,-48.279
belem_6,Bel_xsREBIO002_Mus,0,2720,2916,0.0,0.483,0.517,0.0,-3.643,-46.711
belem_7,Bel_xsTP32151_Toe,0,4930,706,0.0,0.875,0.125,0.0,-1.562,-47.131
belem_8,Bel_xsTP37350_Toe,0,5466,170,0.0,0.97,0.03,0.0,-4.712,-46.354
belem_9,Bel_xsTP38597_Toe,0,5342,294,0.0,0.948,0.052,0.0,-2.949,-45.887
tapajos_1,Tap_xsA08267_Mus,4078,0,1558,0.724,0.0,0.276,100.0,-3.275,-54.942
tapajos_10,Tap_xsTM005_Mus,2968,0,2668,0.527,0.0,0.473,100.0,-6.067,-55.317
tapajos_2,Tap_xsBR163-028_Mus,4314,0,1322,0.765,0.0,0.235,100.0,-8.39,-55.37
tapajos_3,Tap_xsBR163-145_Mus,5304,0,332,0.941,0.0,0.059,100.0,-7.191,-55.495
tapajos_4,Tap_xsBR163-212_Mus,4190,0,1446,0.743,0.0,0.257,100.0,-6.202,-55.688
tapajos_5,Tap_xsMPDS1217_Mus,3218,0,2418,0.571,0.0,0.429,100.0,-6.519,-57.445
tapajos_6,Tap_xsMPDS1294_Mus,5002,0,634,0.888,0.0,0.112,100.0,-6.353,-57.307
tapajos_7,Tap_xsMSF111_Mus,5286,0,350,0.938,0.0,0.062,100.0,-9.262,-54.471
tapajos_8,Tap_xsPIME217_Mus,3666,0,1970,0.65,0.0,0.35,100.0,-4.609,-55.497
tapajos_9,Tap_xsSER013_Mus,4818,0,818,0.855,0.0,0.145,100.0,-6.802,-56.498
xingu_1,Xin_xsCOUFT0424_Mus,249,4941,446,0.044,0.877,0.079,4.8,-6.746,-48.16
xingu_10,Xin_xsTP36276_Toe,233,5137,266,0.041,0.911,0.047,4.3,-3.785,-49.782
xingu_11,Xin_xsTP48649_Toe,318,4904,414,0.056,0.87,0.073,6.1,-9.756,-50.537
xingu_12,Xin_xsTP81164_Toe,186,3874,1576,0.033,0.687,0.28,4.6,-6.19,-48.191
xingu_13,Xin_xsUHE455_Mus,276,3136,2224,0.049,0.556,0.395,8.1,-3.53,-51.733
xingu_2,Xin_xsFTA012_Mus,215,4387,1034,0.038,0.778,0.183,4.7,-5.949,-50.65
xingu_3,Xin_xsGAPTO037_Mus,283,4511,842,0.05,0.8,0.149,5.9,-7.624,-49.381
xingu_4,Xin_xsGAPTO271_Mus,205,1721,3710,0.036,0.305,0.658,10.6,-7.624,-49.381
xingu_5,Xin_xsGAPX047_Mus,296,3400,1940,0.053,0.603,0.344,8.0,-6.514,-51.244
xingu_6,Xin_xsMAYA066_Mus,134,2492,3010,0.024,0.442,0.534,5.1,-1.563,-50.39
xingu_7,Xin_xsMOP011_Mus,294,4202,1140,0.052,0.746,0.202,6.5,-6.633,-50.984
xingu_8,Xin_xsMRJ498_Mus,207,4609,820,0.037,0.818,0.145,4.3,-2.016,-50.717
xingu_9,Xin_xsTP36025_Toe,229,5243,164,0.041,0.93,0.029,4.2,-4.596,-49.561
