population,individual,alternate_allele_count,reference_allele_count,missing_allele_count,alternate_allele_frequency,reference_allele_frequency,missing_allele_frequency,alternate_percentage_of_non_missing_alleles,latitude,longitude
belem_1,Bel_xsFRC041_Mus,0,1204,420,0.0,0.741,0.259,0.0,-3.704,-48.563
belem_10,Bel_xsTP51965_Toe,0,1492,132,0.0,0.919,0.081,0.0,-2.835,-47.915
belem_2,Bel_xsGUR156_Mus,0,1110,514,0.0,0.683,0.317,0.0,-3.704,-46.762
belem_3,Bel_xsLCA23_Mus,0,1518,106,0.0,0.935,0.065,0.0,-1.75,-48.8
belem_4,Bel_xsMLV157_Mus,0,1304,320,0.0,0.803,0.197,0.0,-1.199,-48.299
belem_5,Bel_xsRDP017_Mus,0,1412,212,0.0,0.869,0.131,0.0,-4.715,-48.279
belem_6,Bel_xsREBIO002_Mus,0,958,666,0.0,0.59,0.41,0.0,-3.643,-46.711
belem_7,Bel_xsTP32151_Toe,0,1504,120,0.0,0.926,0.074,0.0,-1.562,-47.131
belem_8,Bel_xsTP37350_Toe,0,1564,60,0.0,0.963,0.037,0.0,-4.712,-46.354
belem_9,Bel_xsTP38597_Toe,0,1522,102,0.0,0.937,0.063,0.0,-2.949,-45.887
tapajos_1,Tap_xsA08267_Mus,1292,0,332,0.796,0.0,0.204,100.0,-3.275,-54.942
tapajos_10,Tap_xsTM005_Mus,1068,0,556,0.658,0.0,0.342,100.0,-6.067,-55.317
tapajos_2,Tap_xsBR163-028_Mus,1378,0,246,0.849,0.0,0.151,100.0,-8.39,-55.37
tapajos_3,Tap_xsBR163-145_Mus,1502,0,122,0.925,0.0,0.075,100.0,-7.191,-55.495
tapajos_4,Tap_xsBR163-212_Mus,1368,0,256,0.842,0.0,0.158,100.0,-6.202,-55.688
tapajos_5,Tap_xsMPDS1217_Mus,1130,0,494,0.696,0.0,0.304,100.0,-6.519,-57.445
tapajos_6,Tap_xsMPDS1294_Mus,1398,0,226,0.861,0.0,0.139,100.0,-6.353,-57.307
tapajos_7,Tap_xsMSF111_Mus,1486,0,138,0.915,0.0,0.085,100.0,-9.262,-54.471
tapajos_8,Tap_xsPIME217_Mus,1282,0,342,0.789,0.0,0.211,100.0,-4.609,-55.497
tapajos_9,Tap_xsSER013_Mus,1510,0,114,0.93,0.0,0.07,100.0,-6.802,-56.498
xingu_1,Xin_xsCOUFT0424_Mus,249,1233,142,0.153,0.759,0.087,16.8,-6.746,-48.16
xingu_10,Xin_xsTP36276_Toe,233,1329,62,0.143,0.818,0.038,14.9,-3.785,-49.782
xingu_11,Xin_xsTP48649_Toe,318,1170,136,0.196,0.72,0.084,21.4,-9.756,-50.537
xingu_12,Xin_xsTP81164_Toe,186,962,476,0.115,0.592,0.293,16.2,-6.19,-48.191
xingu_13,Xin_xsUHE455_Mus,276,964,384,0.17,0.594,0.236,22.3,-3.53,-51.733
xingu_2,Xin_xsFTA012_Mus,215,1103,306,0.132,0.679,0.188,16.3,-5.949,-50.65
xingu_3,Xin_xsGAPTO037_Mus,283,1137,204,0.174,0.7,0.126,19.9,-7.624,-49.381
xingu_4,Xin_xsGAPTO271_Mus,205,649,770,0.126,0.4,0.474,24.0,-7.624,-49.381
xingu_5,Xin_xsGAPX047_Mus,296,986,342,0.182,0.607,0.211,23.1,-6.514,-51.244
xingu_6,Xin_xsMAYA066_Mus,134,886,604,0.083,0.546,0.372,13.1,-1.563,-50.39
xingu_7,Xin_xsMOP011_Mus,294,986,344,0.181,0.607,0.212,23.0,-6.633,-50.984
xingu_8,Xin_xsMRJ498_Mus,207,1193,224,0.127,0.735,0.138,14.8,-2.016,-50.717
xingu_9,Xin_xsTP36025_Toe,229,1347,48,0.141,0.829,0.03,14.5,-4.596,-49.561
