population,individual,alternate_allele_count,reference_allele_count,missing_allele_count,alternate_allele_frequency,reference_allele_frequency,missing_allele_frequency,alternate_percentage_of_non_missing_alleles,latitude,longitude
belem_1,Bel_xsFRC041_Mus,44,154,54,0.175,0.611,0.214,22.2,-3.704,-48.563
belem_10,Bel_xsTP51965_Toe,32,212,8,0.127,0.841,0.032,13.1,-2.835,-47.915
belem_2,Bel_xsGUR156_Mus,21,167,64,0.083,0.663,0.254,11.2,-3.704,-46.762
belem_3,Bel_xsLCA23_Mus,25,215,12,0.099,0.853,0.048,10.4,-1.75,-48.8
belem_4,Bel_xsMLV157_Mus,30,188,34,0.119,0.746,0.135,13.8,-1.199,-48.299
belem_5,Bel_xsRDP017_Mus,31,197,24,0.123,0.782,0.095,13.6,-4.715,-48.279
belem_6,Bel_xsREBIO002_Mus,30,146,76,0.119,0.579,0.302,17.0,-3.643,-46.711
belem_7,Bel_xsTP32151_Toe,23,199,30,0.091,0.79,0.119,10.4,-1.562,-47.131
belem_8,Bel_xsTP37350_Toe,37,213,2,0.147,0.845,0.008,14.8,-4.712,-46.354
belem_9,Bel_xsTP38597_Toe,21,219,12,0.083,0.869,0.048,8.8,-2.949,-45.887
tapajos_1,Tap_xsA08267_Mus,200,0,52,0.794,0.0,0.206,100.0,-3.275,-54.942
tapajos_10,Tap_xsTM005_Mus,172,0,80,0.683,0.0,0.317,100.0,-6.067,-55.317
tapajos_2,Tap_xsBR163-028_Mus,224,0,28,0.889,0.0,0.111,100.0,-8.39,-55.37
tapajos_3,Tap_xsBR163-145_Mus,226,0,26,0.897,0.0,0.103,100.0,-7.191,-55.495
tapajos_4,Tap_xsBR163-212_Mus,210,0,42,0.833,0.0,0.167,100.0,-6.202,-55.688
tapajos_5,Tap_xsMPDS1217_Mus,190,0,62,0.754,0.0,0.246,100.0,-6.519,-57.445
tapajos_6,Tap_xsMPDS1294_Mus,230,0,22,0.913,0.0,0.087,100.0,-6.353,-57.307
tapajos_7,Tap_xsMSF111_Mus,230,0,22,0.913,0.0,0.087,100.0,-9.262,-54.471
tapajos_8,Tap_xsPIME217_Mus,196,0,56,0.778,0.0,0.222,100.0,-4.609,-55.497
tapajos_9,Tap_xsSER013_Mus,220,0,32,0.873,0.0,0.127,100.0,-6.802,-56.498
xingu_1,Xin_xsCOUFT0424_Mus,0,232,20,0.0,0.921,0.079,0.0,-6.746,-48.16
xingu_10,Xin_xsTP36276_Toe,0,244,8,0.0,0.968,0.032,0.0,-3.785,-49.782
xingu_11,Xin_xsTP48649_Toe,0,234,18,0.0,0.929,0.071,0.0,-9.756,-50.537
xingu_12,Xin_xsTP81164_Toe,0,186,66,0.0,0.738,0.262,0.0,-6.19,-48.191
xingu_13,Xin_xsUHE455_Mus,0,190,62,0.0,0.754,0.246,0.0,-3.53,-51.733
xingu_2,Xin_xsFTA012_Mus,0,194,58,0.0,0.77,0.23,0.0,-5.949,-50.65
xingu_3,Xin_xsGAPTO037_Mus,0,212,40,0.0,0.841,0.159,0.0,-7.624,-49.381
xingu_4,Xin_xsGAPTO271_Mus,0,128,124,0.0,0.508,0.492,0.0,-7.624,-49.381
xingu_5,Xin_xsGAPX047_Mus,0,208,44,0.0,0.825,0.175,0.0,-6.514,-51.244
xingu_6,Xin_xsMAYA066_Mus,0,164,88,0.0,0.651,0.349,0.0,-1.563,-50.39
xingu_7,Xin_xsMOP011_Mus,0,206,46,0.0,0.817,0.183,0.0,-6.633,-50.984
xingu_8,Xin_xsMRJ498_Mus,0,220,32,0.0,0.873,0.127,0.0,-2.016,-50.717
xingu_9,Xin_xsTP36025_Toe,0,240,12,0.0,0.952,0.048,0.0,-4.596,-49.561
